Date,Open,High,Low,Vol.,Change %
04/14/2020,130.72,131.96,129.0,6.83M,-0.68%
04/13/2020,132.5,132.58,128.7,3.37M,-1.26%
04/10/2020,132.02,132.08,131.0,1.89M,-1.41%
04/09/2020,133.72,134.6,130.4,7.47M,0.35%
04/08/2020,131.12,133.0,129.14,8.25M,0.57%
04/07/2020,132.14,132.78,131.12,8.08M,1.72%
04/06/2020,126.04,131.4,124.62,8.14M,4.13%
04/03/2020,122.4,124.98,121.12,9.40M,1.74%
04/02/2020,124.64,125.92,118.74,12.14M,-0.08%
04/01/2020,122.0,124.18,121.28,7.56M,-0.97%
03/31/2020,120.78,125.3,119.98,9.47M,4.39%
03/30/2020,114.0,118.78,113.4,5.90M,2.04%
03/27/2020,120.02,120.38,115.12,6.28M,-2.81%
03/26/2020,121.96,122.44,118.56,10.14M,-1.93%
03/25/2020,118.0,125.48,117.7,18.72M,5.20%
03/24/2020,111.0,117.34,111.0,14.17M,7.12%
03/23/2020,108.56,110.88,106.5,9.08M,-2.87%
03/20/2020,110.9,113.48,109.44,16.37M,2.90%
03/19/2020,102.0,110.86,100.0,19.55M,7.24%
03/18/2020,106.68,107.98,101.1,10.35M,-6.22%
03/17/2020,109.28,113.0,104.0,11.10M,-0.88%
03/16/2020,111.0,112.0,105.5,12.71M,-0.71%
03/13/2020,111.2,116.88,109.54,13.06M,-1.44%
03/12/2020,116.0,117.5,109.8,14.73M,-7.92%
03/11/2020,119.9,122.94,117.02,16.94M,2.25%
03/10/2020,107.6,123.94,100.82,18.42M,-1.27%
03/06/2020,123.0,123.44,117.6,12.19M,-3.88%
03/05/2020,124.44,124.84,121.74,8.79M,0.99%
03/04/2020,121.42,123.9,120.28,8.03M,0.65%
03/03/2020,123.5,124.48,121.12,9.96M,0.15%
03/02/2020,130.0,130.0,119.14,16.70M,-2.21%
02/28/2020,127.0,130.76,123.16,20.89M,-4.92%
